time,symbol,trade_price,trade_size,trade_side
2018-10-10T17:43:20.439249Z,ES,193850,6,B
2018-10-10T17:43:20.657826Z,ES,193825,6,B
2018-10-10T17:43:20.858441Z,ES,193850,3,A
2018-10-10T17:43:21.108364Z,VX,2515,2,A
2018-10-10T17:43:21.309293Z,ES,193850,2,A
2018-10-10T17:43:22.058968Z,VX,2515,5,A
2018-10-10T17:43:22.176369Z,ES,193850,15,B
2018-10-10T17:43:22.679349Z,ES,193875,1,A
2018-10-10T17:43:23.112488Z,ES,193850,37,B
2018-10-10T17:43:23.409768Z,VX,2515,1,B
2018-10-10T17:43:24.026705Z,ES,193850,1,A
2018-10-10T17:43:25.087019Z,ES,193850,5,A
2018-10-10T17:43:26.222819Z,ES,193825,10,B
2018-10-10T17:43:27.056668Z,ES,193850,2,A
2018-10-10T17:43:27.248305Z,ES,193825,3,B
2018-10-10T17:43:27.792522Z,VX,2520,1,A
2018-10-10T17:43:28.219089Z,ES,193825,42,A
2018-10-10T17:43:29.353748Z,ES,193825,80,B
2018-10-10T17:43:29.802849Z,ES,193875,1,A
2018-10-10T17:43:30.421200Z,ES,193875,9,B
2018-10-10T17:43:30.994122Z,ES,193900,4,A
2018-10-10T17:43:31.153666Z,VX,2515,2,A
2018-10-10T17:43:31.761044Z,ES,193925,3,A
2018-10-10T17:43:32.563019Z,ES,193925,18,A
2018-10-10T17:43:33.744960Z,ES,193900,2,B
2018-10-10T17:43:33.907128Z,ES,193925,1,A
2018-10-10T17:43:34.361906Z,ES,193900,1,B
2018-10-10T17:43:35.528249Z,ES,193900,4,B
2018-10-10T17:43:36.149615Z,ES,193900,5,B
2018-10-10T17:43:36.989810Z,ES,193925,11,A
2018-10-10T17:43:37.604665Z,ES,193950,1,A
2018-10-10T17:43:38.773808Z,ES,193950,2,A
2018-10-10T17:43:39.177761Z,ES,193925,5,B
2018-10-10T17:43:40.446867Z,ES,193925,2,B
2018-10-10T17:43:41.471856Z,ES,193925,5,B
2018-10-10T17:43:42.837115Z,VX,2515,1,A
2018-10-10T17:43:44.297399Z,ES,193925,6,B
2018-10-10T17:43:45.241656Z,ES,193925,7,A
2018-10-10T17:43:49.033521Z,ES,193925,1,A
2018-10-10T17:43:49.845798Z,ES,193950,152,A
2018-10-10T17:43:50.042757Z,ES,193950,51,B
2018-10-10T17:43:50.990089Z,ES,193950,9,B
2018-10-10T17:43:51.144953Z,ES,193925,5,B
2018-10-10T17:43:51.609718Z,ES,193950,4,A
2018-10-10T17:43:52.492799Z,ES,193950,2,A
2018-10-10T17:43:52.659205Z,ES,193975,2,A
2018-10-10T17:43:53.587683Z,ES,193950,11,B
2018-10-10T17:43:54.647944Z,ES,193950,22,A
2018-10-10T17:43:55.470659Z,ES,193950,1,A
2018-10-10T17:43:57.041809Z,ES,193950,3,A
2018-10-10T17:43:57.869002Z,ES,193950,8,A
2018-10-10T17:43:59.963023Z,ES,193950,3,A
